epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1713,0.8453,1.6679,1.22789,0.76916,0.64862,0.74856,0.5226,1.0721,1.37854,1.56014,0.00041351,0.00041351,0.00041351
2,48.2199,1.03341,1.28429,1.34402,0.39369,0.58871,0.46348,0.27881,1.34842,2.58836,1.83376,0.000813739,0.000813739,0.000813739
3,74.0971,1.12912,1.38494,1.41117,0.6198,0.45584,0.51007,0.31889,1.24761,2.1368,1.66198,0.00119747,0.00119747,0.00119747
4,96.1035,1.09624,1.31606,1.3847,0.53936,0.64694,0.62728,0.38067,1.30707,1.7709,1.64406,0.00117575,0.00117575,0.00117575
