epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1400.57,1.29857,0.58656,1.14046,0.97591,0.99194,0.99056,0.70809,1.00541,0.48521,1.07704,0.0011684,0.0011684,0.0011684
44,1430.07,1.29701,0.59486,1.12585,0.99198,0.99688,0.99468,0.71324,0.99967,0.49026,1.06214,0.0011486,0.0011486,0.0011486
45,1459.78,1.26198,0.58457,1.12698,0.96554,0.99194,0.9934,0.72187,1.03473,0.50935,1.07551,0.0011288,0.0011288,0.0011288
46,1489.36,1.27267,0.58652,1.12435,0.99187,0.98345,0.99427,0.6642,1.1535,0.51256,1.13053,0.001109,0.001109,0.001109
47,1519.71,1.26627,0.58195,1.13163,0.98325,0.99194,0.98653,0.70582,1.06495,0.48704,1.08084,0.0010892,0.0010892,0.0010892
48,1549.5,1.30911,0.6018,1.13347,0.992,0.99942,0.99436,0.69323,1.06193,0.48964,1.09115,0.0010694,0.0010694,0.0010694
49,1581.93,1.29675,0.5936,1.14731,0.98892,1,0.99428,0.70953,1.03959,0.47106,1.08413,0.0010496,0.0010496,0.0010496
50,1615.78,1.25221,0.58399,1.10965,0.98399,1,0.9938,0.69228,1.05303,0.47959,1.09153,0.0010298,0.0010298,0.0010298
51,1647.92,1.23509,0.5725,1.12742,0.98399,0.99117,0.99301,0.71321,0.98032,0.48407,1.06781,0.00101,0.00101,0.00101
52,1683.1,1.24927,0.58252,1.10511,0.9828,0.99194,0.9859,0.67821,1.0867,0.47019,1.09861,0.0009902,0.0009902,0.0009902
53,1716.51,1.24912,0.56189,1.11896,0.99035,1,0.99412,0.72176,0.97839,0.47076,1.07714,0.0009704,0.0009704,0.0009704
54,1747.27,1.26878,0.57421,1.12643,0.97618,0.99134,0.98541,0.69094,1.05553,0.48427,1.09794,0.0009506,0.0009506,0.0009506
55,1777.37,1.26377,0.57585,1.12735,0.992,0.99983,0.99436,0.65801,1.17942,0.51098,1.12152,0.0009308,0.0009308,0.0009308
56,1807.8,1.2548,0.56331,1.12393,0.97468,0.99194,0.99304,0.69684,1.0109,0.48385,1.09072,0.000911,0.000911,0.000911
57,1837.1,1.24931,0.55746,1.11206,0.99096,1,0.99412,0.70037,1.06912,0.46214,1.11928,0.0008912,0.0008912,0.0008912
58,1867.28,1.23534,0.54818,1.10105,0.98204,1,0.99386,0.69193,1.06739,0.4716,1.07004,0.0008714,0.0008714,0.0008714
59,1896.88,1.20843,0.54222,1.10565,0.99068,1,0.99404,0.72267,1.00018,0.4452,1.06432,0.0008516,0.0008516,0.0008516
60,1926.11,1.2138,0.55316,1.10189,0.99198,0.99718,0.99372,0.71275,1.03507,0.44592,1.0762,0.0008318,0.0008318,0.0008318
61,1956.1,1.22873,0.56479,1.10976,0.99071,1,0.99412,0.70627,0.9971,0.45034,1.05256,0.000812,0.000812,0.000812
62,1985.04,1.23083,0.55806,1.10877,0.99082,1,0.99436,0.69726,1.01224,0.45644,1.07153,0.0007922,0.0007922,0.0007922
63,2013.59,1.18968,0.54157,1.0969,0.99092,1,0.9942,0.71826,0.97874,0.45971,1.04551,0.0007724,0.0007724,0.0007724
64,2041.72,1.19925,0.53989,1.0974,0.99118,1,0.99436,0.71116,0.98263,0.44398,1.04807,0.0007526,0.0007526,0.0007526
65,2071.1,1.20135,0.53015,1.09445,0.98095,0.99194,0.98821,0.69611,1.07716,0.46494,1.09291,0.0007328,0.0007328,0.0007328
66,2100.83,1.221,0.53838,1.11647,0.9808,0.99194,0.98893,0.69977,1.0651,0.4474,1.10055,0.000713,0.000713,0.000713
67,2129.33,1.17837,0.52432,1.08081,0.98875,1,0.9942,0.70899,1.03209,0.45202,1.08133,0.0006932,0.0006932,0.0006932
68,2158.71,1.17875,0.53219,1.09556,0.99124,0.99194,0.99468,0.69629,1.02726,0.45684,1.08759,0.0006734,0.0006734,0.0006734
69,2187.39,1.21248,0.54419,1.09504,0.99083,1,0.99444,0.69442,1.09554,0.4615,1.11567,0.0006536,0.0006536,0.0006536
70,2216.1,1.16855,0.53344,1.09048,0.99138,1,0.99412,0.72659,0.99835,0.42983,1.07824,0.0006338,0.0006338,0.0006338
71,2244.95,1.18263,0.52879,1.09844,0.99199,0.99897,0.99436,0.70061,1.03934,0.4539,1.08958,0.000614,0.000614,0.000614
72,2274.83,1.15791,0.52656,1.08507,0.99134,1,0.9942,0.68048,1.05835,0.44679,1.09348,0.0005942,0.0005942,0.0005942
73,2303.81,1.14945,0.51584,1.07096,0.99128,1,0.99404,0.71391,1.04622,0.44185,1.07837,0.0005744,0.0005744,0.0005744
74,2332.5,1.15058,0.51757,1.07229,0.99126,1,0.99428,0.70994,1.00034,0.43129,1.0759,0.0005546,0.0005546,0.0005546
75,2361.22,1.16059,0.51529,1.06984,0.99102,1,0.99412,0.69981,1.06421,0.45546,1.08818,0.0005348,0.0005348,0.0005348
76,2389.8,1.17664,0.51663,1.07645,0.98412,0.99953,0.99386,0.69768,1.11109,0.46695,1.10392,0.000515,0.000515,0.000515
77,2418.23,1.1448,0.51169,1.07052,0.99129,1,0.99444,0.71456,1.01066,0.43291,1.06754,0.0004952,0.0004952,0.0004952
78,2447.14,1.12591,0.5084,1.06352,0.99164,1,0.99436,0.69335,1.08375,0.44043,1.08757,0.0004754,0.0004754,0.0004754
79,2476.73,1.12047,0.49752,1.06568,0.99123,1,0.99452,0.70773,1.01415,0.41922,1.07656,0.0004556,0.0004556,0.0004556
80,2505.44,1.123,0.5051,1.05468,0.98956,1,0.99468,0.71891,0.99142,0.42279,1.05061,0.0004358,0.0004358,0.0004358
81,2533.98,1.11876,0.49966,1.05914,0.99095,1,0.99436,0.72481,1.00926,0.43192,1.04818,0.000416,0.000416,0.000416
82,2562.53,1.13061,0.51066,1.05932,0.99141,1,0.99388,0.71269,1.02466,0.42698,1.05778,0.0003962,0.0003962,0.0003962
83,2590.97,1.1247,0.50316,1.06427,0.99136,1,0.99404,0.7199,0.98361,0.41538,1.05323,0.0003764,0.0003764,0.0003764
84,2621.51,1.1009,0.49248,1.06298,0.99155,1,0.99428,0.72018,1.00776,0.42315,1.05794,0.0003566,0.0003566,0.0003566
85,2649.54,1.09792,0.5028,1.06427,0.99133,1,0.99388,0.69918,1.04378,0.42933,1.08115,0.0003368,0.0003368,0.0003368
86,2677.84,1.09811,0.49615,1.05782,0.99199,0.99881,0.99396,0.7054,1.0554,0.43207,1.0821,0.000317,0.000317,0.000317
